Name,Download
libglib2.0-dev,1033
libglib2.0-dev-bin,1032
libparted2,1030
manpages,1028
libsepol-dev,1022
libmagic1,1020
libselinux1-dev,1020
lsb-release,1017
libmount-dev,1016
libmagic-mgc,1015
libblkid-dev,1011
firstboot-config,1005
libgdk-pixbuf2.0-common,1001
libgdk-pixbuf-2.0-0,999
libpng16-16,998
python3-more-itertools,998
distro-info-data,997
bash,996
libfreetype6,995
parted,995
libvorbis0a,985
git-man,982
libgdk-pixbuf2.0-bin,982
libwayland-server0,982
xorg-sgml-doctools,982
linux-compiler-gcc-12-x86,979
git,978
liberror-perl,978
linux-image-imx-arm64,977
squashfs-tools,974
grub-efi-ia32-bin,971
python3-setuptools,970
libsensors-config,964
x11proto-dev,964
libsensors5,963
libexpat1-dev,961
libpciaccess0,955
libgbm1,954
libyajl2,949
libpthread-stubs0-dev,947
bsdextrautils,945
libxau-dev,945
libxdmcp-dev,945
libxcb1-dev,944
iputils-ping,936
file,927
xtrans-dev,926
libopus0,925
libwebpmux3,922
libgdbm6,914
libx11-dev,913
socat,913
libvorbisenc2,910
iso-codes,909
ncurses-term,908
linux-headers-amd64,902
dbus-user-session,899
libxft2,899
libgnutls30,888
libarchive13,885
python3-markupsafe,885
libncursesw6,883
libxxf86vm1,881
libseccomp2,878
libasound2,877
qemu-utils,877
systemd-boot,876
systemd-boot-efi,876
libasound2-data,875
python3-pbr,875
libgl1-mesa-dri,873
libsnappy1v5,873
libxcb-glx0,873
alsa-ucm-conf,872
libunwind8,871
libglx-mesa0,869
libpng-dev,869
libglx0,866
libsodium23,866
linux-image-6.1.0-27-amd64,866
bubblewrap,861
desktop-base,856
dosfstools,855
qemu-guest-agent,855
procps,851
libegl-mesa0,850
libproc2-0,848
ucf,848
libegl1,847
systemd-container,847
liblmdb0,845
libuv1,845
nano,843
libgl1,841
libutempter0,839
sgml-base,838
libprotobuf-c1,835
libmp3lame0,834
libbrotli-dev,832
libkeyutils1,831
libxext-dev,828
libtirpc-common,824
libfreetype-dev,823
libreadline8,822
libtirpc3,822
python3-mdurl,820
libevent-core-2.1-7,819
libavahi-glib1,818
libcairo-script-interpreter2,818
python3-markdown-it,818
libpopt0,817
python3-rich,817
libopenjp2-7,815
readline-common,814
sensible-utils,813
libpkgconf3,812
ocl-icd-libopencl1,811
libfontconfig-dev,809
libice-dev,809
linux-image-6.1.0-28-amd64,809
pkgconf,808
pkgconf-bin,808
libbsd0,807
xml-core,807
libsm-dev,806
libxrender-dev,805
elxr-config,804
libncurses6,802
libxcb-render0-dev,801
libpixman-1-dev,799
libva2,799
python3-stevedore,799
libxcb-shm0-dev,797
libcairo2-dev,796
python3-attr,796
dmsetup,795
libedit2,794
libpcap0.8,794
libdevmapper1.02.1,793
libip4tc2,792
libjansson4,792
libargon2-1,791
libkmod2,791
libapparmor1,790
libmaxminddb0,790
libpolkit-gobject-1-0,788
bc,787
libcryptsetup12,787
libpython3.11,787
libfstrm0,786
libgstreamer1.0-0,786
libjson-c5,786
libefivar1,783
libpolkit-agent-1-0,783
bind9-libs,782
libduktape207,782
libjemalloc2,782
libefiboot1,781
libnl-route-3-200,781
libjs-sphinxdoc,780
linux-image-6.1.0-26-amd64,779
polkitd,778
python3-colorama,778
libgcc-s1,777
mesa-va-drivers,777
va-driver-all,774
python3-click,768
libostree-1-1,763
libelf1,759
libva-drm2,757
libcrypt1,755
libdrm-intel1,755
libregexp-ipv6-perl,755
bind9-host,754
libspeex1,754
dmidecode,753
libva-x11-2,753
pkg-config,753
efibootmgr,751
libpcre2-8-0,749
liburi-perl,749
gcc-11-cross-base,747
gcc-12-base,745
libvpx7,743
python3-mako,742
python3-packaging,742
gir1.2-ostree-1.0,741
libtwolame0,741
python3-systemd,740
x11proto-core-dev,737
libtinfo6,736
debianutils,735
dpkg,734
libattr1,734
liblzma5,734
debconf,732
libdb5.3,732
libaudit-common,731
libcap2,731
libbz2-1.0,730
libgpg-error0,730
libpam-modules,729
mawk,729
ostree,729
inetutils-telnet,728
libacl1,728
coreutils,727
liblz4-1,727
dash,726
diffutils,726
findutils,726
grep,726
gzip,726
hostname,726
libaudit1,726
liblocale-gettext-perl,726
libgmp10,725
libcap-ng0,724
libzstd1,724
base-passwd,723
libmd0,723
libpam-modules-bin,722
zstd,722
init-system-helpers,721
libdebconfclient0,721
libpam0g,721
libselinux1,721
libpam-runtime,720
login,718
perl-base,718
ncurses-bin,717
tar,717
sed,716
sysvinit-utils,713
ncurses-base,712
conntrack,709
eject,703
gobject-introspection,701
kubernetes-cni,700
ebtables,699
psmisc,698
e2fsprogs,697
libgirepository1.0-dev,697
python3-markdown,696
libcom-err2,694
live-build,692
libnfsidmap1,691
python3-py,690
ca-certificates,689
libsemanage-common,689
keyutils,688
passwd,688
libext2fs2,687
libopenexr-3-1-30,686
libxt6,686
libtext-iconv-perl,685
cri-tools,684
libsemanage2,684
libsepol2,684
libss2,684
python3-iniconfig,684
libtext-charwidth-perl,682
logsave,682
python3-pluggy,682
python3-pytest,681
kubeadm,680
netbase,680
python3-cerberus,680
reprepro,680
libtext-wrapi18n-perl,679
libtimedate-perl,679
cri-o,677
net-tools,675
kubelet,674
libstdc++6,673
nfs-common,672
python3-antlr4,672
libostree-dev,671
python3-omegaconf,670
rpcbind,670
libfdt1,669
libnl-genl-3-200,669
python3-testinfra,668
libvdpau1,667
screen,664
libhwy1,663
libavutil57,662
dns-root-data,661
dnsmasq-base,660
libgudev-1.0-0,659
iproute2,657
less,657
icu-devtools,654
libxfce4ui-2-0,654
libxfce4ui-common,653
libevent-2.1-7,652
libsoxr0,652
libcodec2-1.0,650
libgsm1,649
mesa-vdpau-drivers,649
libicu-dev,647
libswresample4,645
libshine3,644
libzvbi-common,643
libavcodec59,642
libzvbi0,642
libx264-164,641
libxvidcore4,640
kmod,637
libxmu6,637
adduser,635
python3-cryptography,634
ibverbs-providers,630
apt,629
gpgv,629
libapt-pkg6.0,629
python3-cffi-backend,629
vim,629
vim-runtime,629
libffi8,628
groff-base,627
libibverbs1,627
debian-archive-keyring,626
cpio,625
libhogweed6,625
libidn2-0,625
libp11-kit0,625
libnettle8,624
libuchardet0,624
gir1.2-gdkpixbuf-2.0,623
libcap2-bin,623
libtasn1-6,622
libbpf1,621
libmnl0,621
libunistring2,621
libxxhash0,621
isc-dhcp-client,620
libpipeline1,620
vim-common,620
cron,619
libxtables12,619
lsof,618
cron-daemon-common,617
man-db,616
libxfce4ui-utils,615
apt-utils,614
install-info,613
info,612
libnftnl11,612
libxaw7,612
ifupdown,611
init,611
isc-dhcp-common,610
runit-helper,609
debconf-i18n,608
vim-tiny,608
libgles2,607
libnftables1,606
libc6-i386,602
logrotate,602
libc-l10n,601
locales,601
nftables,601
traceroute,601
gir1.2-harfbuzz-0.0,594
netcat-openbsd,594
libpangoxft-1.0-0,593
gir1.2-atk-1.0,588
libfakeroot,587
fakeroot,586
gir1.2-pango-1.0,585
librdmacm1,581
lib32gcc-s1,579
libconmonrs-crio-plugin,579
libfile-fcntllock-perl,579
usb.ids,574
initramfs-tools,573
libalgorithm-diff-xs-perl,572
lib32stdc++6,571
libgc1,570
libalgorithm-diff-perl,569
libdaxctl1,569
apparmor,568
initramfs-tools-core,567
libobjc4,567
libmpg123-0,566
libalgorithm-merge-perl,563
libndctl6,560
linux-image-rt-amd64,558
libltdl7,554
libboost-thread1.74.0,553
libobjc-12-dev,542
elxr-live-config,538
libboost-regex1.74.0,534
