Name,Download
zlib1g,11186
base-files,10172
wget,9544
python-apt-common,8316
python3-apt,8316
zlib1g-dev,8172
linux-libc-dev,7954
libgcrypt20,7290
python3-apt-ostree,5878
dirmngr,5545
